,nodeid,x,y
0,21,1.35,2.13
1,22,0.01,2.45
2,23,0.01,3.95
3,24,0.01,5.45
4,25,3.16,6.15
5,26,4.3,4.64
6,27,4.3,3.43
7,28,4.3,1.04
